step,train_loss,val_loss
1,8.9246,
100,6.1510,6.1818
200,5.8906,6.0035
300,5.6568,5.7094
400,5.5384,5.4547
500,5.2092,5.2148
600,5.0315,5.0467
700,4.9404,4.9861
800,4.9554,4.9271
900,4.8390,4.8949
1000,4.8689,4.8942
1200,4.9084,4.8614
1300,4.6732,4.8385
1400,4.8063,4.7968
1500,4.8174,4.7529
1600,4.6973,4.7501
1700,4.6884,4.7290
1800,4.6553,4.7484
1900,4.7225,4.7309
2000,4.6284,4.7238
