step,train_loss,val_loss
1,3.6749,
50,3.5000,3.5086
100,3.5367,3.4382
150,3.5024,3.4562
200,3.5161,3.4241
250,3.4522,3.4190
300,3.4970,3.4370
350,3.4823,3.3929
400,3.4024,3.4123
450,3.4219,3.3966
500,3.3715,3.4161
