step,train_loss,val_loss
1,9.6044,
100,6.5667,6.5959
200,6.4572,6.4119
300,6.2134,6.2303
400,6.2442,6.1380
500,5.8925,6.0161
600,5.8739,5.8729
700,5.8678,5.7532
800,5.6116,5.6709
900,5.6480,5.6098
1000,5.6721,5.5591
1100,5.4989,5.5545
1200,5.5686,5.5435
1300,5.6435,5.4913
1400,5.5912,5.4713
1500,5.4715,5.4359
